Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Moeda,Valor,V_m2,cep,latitude,longitude,Point,setor_censo
rua belarmino barreto,Vila Fachini,São Paulo,95,2,2,2,R$,370000.0,3894.7368421052633,4326090.0,-23.6595762,-46.6343835,POINT (-46.6343835 -23.6595762),355030838000352
avenida afonso mariano fagundes,Saúde,São Paulo,180,3,2,2,R$,797000.0,4427.777777777777,4054000.0,-23.6167858,-46.6443349,POINT (-46.6443349 -23.6167858),355030877000010
rua engenheiro sá rocha,Vila Ida,São Paulo,456,4,4,4,R$,4500000.0,9868.421052631578,5454020.0,-23.5426388,-46.7112792,POINT (-46.7112792 -23.5426388),355030802000006
rua doutor domingos de sylos,Brooklin,São Paulo,144,3,4,2,R$,800000.0,5555.555555555556,4623110.0,-23.640223,-46.675545,POINT (-46.675545 -23.640223),355030815000068
rua utinga,Chácara Flora,São Paulo,1505,5,8,4,R$,25000000.0,16611.295681063122,7241410.0,-23.4521118,-46.4260598,POINT (-46.4260598 -23.4521118),
rua acutiranha,Jardim Panorama,São Paulo,356,3,5,3,R$,2280000.0,6404.494382022472,5679000.0,-23.6010437,-46.7030776,POINT (-46.7030776 -23.6010437),355030854000127
rua francisco carvalho henriques,Lar São Paulo,São Paulo,253,3,6,6,R$,1300000.0,5138.339920948617,5639110.0,-23.608463,-46.7427251,POINT (-46.7427251 -23.608463),355030894000140
avenida lopes de azevedo,Jardim Guedala,São Paulo,1000,5,7,6,R$,12500000.0,12500.0,5603000.0,-23.5844687,-46.7041799,POINT (-46.7041799 -23.5844687),355030854000123
rua doutor cristiano de sousa,Jardim Leonor,São Paulo,341,4,4,4,R$,1300000.0,3812.316715542522,5658010.0,-23.6045825,-46.7232837,POINT (-46.7232837 -23.6045825),355030854000068
avenida mahatma gandhi,Interlagos,São Paulo,380,3,8,6,R$,1680000.0,4421.0526315789475,4789000.0,-23.7053768,-46.7059499,POINT (-46.7059499 -23.7053768),355030823000170
rua gustavo da silveira,Vila Santa Catarina,São Paulo,175,4,3,2,R$,580000.0,3314.285714285714,4376002.0,-23.6529584,-46.656497,POINT (-46.656497 -23.6529584),355030838000039
rua menaldo rodrigues,Jardim Luzitânia,São Paulo,580,4,5,4,R$,5900000.0,10172.413793103447,4030010.0,-23.5919234,-46.6525084,POINT (-46.6525084 -23.5919234),355030832000157
rua brigadeiro gama barcelos,Parque Jabaquara,São Paulo,143,3,2,4,R$,890000.0,6223.776223776224,4355070.0,-23.6331967,-46.6571215,POINT (-46.6571215 -23.6331967),355030815000033
alameda dos anapurus,Indianópolis,São Paulo,600,4,7,6,R$,3300000.0,5500.0,4087000.0,-23.6083416,-46.6590842,POINT (-46.6590842 -23.6083416),355030832000076
rua professor castro soromenho,Vila Congonhas,São Paulo,112,2,3,2,R$,850000.0,7589.285714285715,4624070.0,-23.6280345,-46.6689733,POINT (-46.6689733 -23.6280345),355030815000101
rua florindo braglia,Jardim São Paulo(Zona Norte),São Paulo,230,4,4,3,R$,1200000.0,5217.391304347826,2043075.0,-23.4879834,-46.6180241,POINT (-46.6180241 -23.4879834),355030870000141
rua piave,Vila Inah,São Paulo,380,3,4,6,R$,1900000.0,5000.0,5620010.0,-23.593693,-46.7234626,POINT (-46.7234626 -23.593693),355030894000098
rua pau brasil,Boaçava,São Paulo,658,5,7,8,R$,7900000.0,12006.079027355623,13466500.0,-22.7547342,-47.3310296,POINT (-47.3310296 -22.7547342),
rua marcos fernandes,Jardim da Saúde,São Paulo,96,2,1,2,R$,950000.0,9895.833333333334,4149120.0,-23.618592,-46.6186559,POINT (-46.6186559 -23.618592),355030827000003
rua wanderley,Perdizes,São Paulo,210,3,4,2,R$,1500000.0,7142.857142857143,13238255.0,-23.2397446,-46.7715603,POINT (-46.7715603 -23.2397446),
rua eduardo valim,Jardim Botucatu,São Paulo,140,3,3,2,R$,565000.0,4035.714285714286,4173060.0,-23.6398388,-46.6111326,POINT (-46.6111326 -23.6398388),355030868000193
avenida lacerda franco,Cambuci,São Paulo,180,3,4,2,R$,1040000.0,5777.777777777777,1536000.0,-23.5761577,-46.6250783,POINT (-46.6250783 -23.5761577),355030849000075
rua aparaó,Vila Inah,São Paulo,463,4,5,6,R$,2750000.0,5939.524838012959,5618080.0,-23.5896207,-46.72531,POINT (-46.72531 -23.5896207),355030894000252
rua comendador roberto ugolini,Parque da Mooca,São Paulo,390,4,4,6,R$,1200000.0,3076.923076923077,3125010.0,-23.5764922,-46.5896418,POINT (-46.5896418 -23.5764922),355030853000064
rua umberto corradi,Vila Gomes Cardim,São Paulo,600,4,7,4,R$,2300000.0,3833.3333333333335,3319090.0,-23.545183,-46.5565124,POINT (-46.5565124 -23.545183),355030880000085
rua cônego antônio lessa,Parque da Mooca,São Paulo,150,3,1,2,R$,1100000.0,7333.333333333333,3122060.0,-23.5685799,-46.5964866,POINT (-46.5964866 -23.5685799),355030853000051
rua galiza,Socorro,São Paulo,90,3,1,2,R$,530000.0,5888.888888888889,4784160.0,-23.6888386,-46.7093423,POINT (-46.7093423 -23.6888386),355030879000023
rua tito prates da fonseca,Vila Moinho Velho,São Paulo,138,4,4,2,R$,595000.0,4311.594202898551,4285130.0,-23.476961,-46.6641169,POINT (-46.6641169 -23.476961),355030813000142
rua são fortunato,Interlagos,São Paulo,371,3,5,10,R$,1295000.0,3490.566037735849,4783050.0,-23.6965795,-46.7055935,POINT (-46.7055935 -23.6965795),355030879000044
rua engenheiro mário pamponet,Vila Madalena,São Paulo,210,4,4,3,R$,1900000.0,9047.619047619048,5448010.0,-23.5470747,-46.6977672,POINT (-46.6977672 -23.5470747),355030802000012
alameda joaquim eugênio de lima,Jardim Paulista,São Paulo,400,5,5,4,R$,6000000.0,15000.0,1403000.0,-23.5721685,-46.6568,POINT (-46.6568 -23.5721685),355030845000215
rua dom miguel costa,Vila Gumercindo,São Paulo,180,3,3,3,R$,870000.0,4833.333333333333,4129060.0,-23.602297,-46.6228684,POINT (-46.6228684 -23.602297),355030827000127
rua barão de almeida valim,Vila Jurema,São Paulo,85,3,2,3,R$,600000.0,7058.823529411765,8130170.0,-23.5100558,-46.374051,POINT (-46.374051 -23.5100558),355030836000217
rua olivério pilar,Vila Primavera,São Paulo,200,3,3,6,R$,600000.0,3000.0,3390060.0,-23.5928985,-46.5255707,POINT (-46.5255707 -23.5928985),355030876000253
rua coronel bento noronha,Jardim Paulistano,São Paulo,934,5,8,7,R$,14000000.0,14989.293361884369,1443050.0,-23.5705558,-46.6829067,POINT (-46.6829067 -23.5705558),355030862000066
rua magino roberto de oliveira,Vila Independência,São Paulo,100,3,2,2,R$,420000.0,4200.0,4223110.0,-23.5998125,-46.5877414,POINT (-46.5877414 -23.5998125),355030834000111
rua princesa leopoldina,Alto da Lapa,São Paulo,140,2,2,4,R$,1250000.0,8928.57142857143,9911590.0,-23.692809,-46.6102396,POINT (-46.6102396 -23.692809),
rua oliveira lima,Cambuci,São Paulo,140,3,2,3,R$,690000.0,4928.571428571428,13091567.0,-22.875377,-47.0266527,POINT (-47.0266527 -22.875377),
rua maria inácia da conceição,Vila Carrão,São Paulo,500,4,5,5,R$,1200000.0,2400.0,3437060.0,-23.559215,-46.5297186,POINT (-46.5297186 -23.559215),355030820000079
avenida itacira,Planalto Paulista,São Paulo,155,2,1,2,R$,1200000.0,7741.935483870968,11443160.0,-23.975993,-46.2013172,POINT (-46.2013172 -23.975993),
rua içana,Jardim Paulistano,São Paulo,350,3,2,2,R$,2800000.0,8000.0,1457050.0,-23.574375,-46.6951737,POINT (-46.6951737 -23.574375),355030862000103
avenida das magnólias,Cidade Jardim,São Paulo,850,4,4,10,R$,11000000.0,12941.176470588236,5674000.0,-23.5931626,-46.6964356,POINT (-46.6964356 -23.5931626),355030854000128
rua mário,Vila Romana,São Paulo,150,3,3,2,R$,1250000.0,8333.333333333334,6386580.0,-23.5412982,-46.8180577,POINT (-46.8180577 -23.5412982),
rua suarão,Vila Prudente,São Paulo,136,2,1,1,R$,440000.0,3235.294117647059,3137090.0,-24.1647706,-46.7528146,POINT (-46.7528146 -24.1647706),
