Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Moeda,Valor,V_m2,cep,latitude,longitude,Point,setor_censo
avenida itacira,Planalto Paulista,São Paulo,1000,4,8,6,R$,7000000.0,7000.0,11443160.0,-23.975993,-46.2013172,POINT (-46.2013172 -23.975993),
rua aurelia perez alvarez,Jardim dos Estados,São Paulo,496,4,4,4,R$,3700000.0,7459.677419354839,4642020.0,-23.6409612,-46.6883114,POINT (-46.6883114 -23.6409612),355030871000023
rua alba valdez,Jardim Reimberg,São Paulo,125,4,3,2,R$,380000.0,3040.0,4845200.0,-23.75299,-46.6958895,POINT (-46.6958895 -23.75299),355030830000050
rua tobias barreto,Mooca,São Paulo,100,3,2,2,R$,540000.0,5400.0,13474663.0,-22.6989009,-47.2944609,POINT (-47.2944609 -22.6989009),
rua graham bell,Santo Amaro,São Paulo,440,4,4,6,R$,1980000.0,4500.0,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169
rua francisco paulo,Cidade Mãe do Céu,São Paulo,145,4,4,2,R$,850000.0,5862.068965517241,3306050.0,-23.5222541,-46.5164525,POINT (-46.5164525 -23.5222541),355030859000013
rua guilherme valente,Jardim Vergueiro,São Paulo,150,2,2,2,R$,450000.0,3000.0,5818280.0,-23.6647336,-46.7339399,POINT (-46.7339399 -23.6647336),355030846000047
rua sagrada família,Jardim Benfica,São Paulo,48,2,1,1,R$,199900.0,4164.583333333333,8140520.0,-23.5875122,-46.6115287,POINT (-46.6115287 -23.5875122),355030834000022
rua tapaji,Vila Alpina,São Paulo,114,3,3,2,R$,585000.0,5131.578947368421,3207050.0,-23.6004694,-46.5615172,POINT (-46.5615172 -23.6004694),355030893000075
rua vigário joão álvares,Vila Monumento,São Paulo,261,4,4,3,R$,700000.0,2681.992337164751,1551040.0,-23.5757239,-46.6119322,POINT (-46.6119322 -23.5757239),355030834000071
rua tuim,Vila Uberabinha,São Paulo,193,3,3,2,R$,2500000.0,12953.36787564767,13903401.0,-22.7092778,-46.7724671,POINT (-46.7724671 -22.7092778),
rua antônio pereira mendes,Jardim Prudência,São Paulo,251,3,5,4,R$,1700000.0,6772.908366533865,4648235.0,-23.654041,-46.6761882,POINT (-46.6761882 -23.654041),355030822000233
rua joão antunes carvalho,Lauzane Paulista,São Paulo,300,4,5,4,R$,1150000.0,3833.3333333333335,2435100.0,-23.481381,-46.6421852,POINT (-46.6421852 -23.481381),355030851000041
rua timbé,Jardim Santa Maria,São Paulo,135,3,3,2,R$,550000.0,4074.074074074074,3576070.0,-23.5499099,-46.5079254,POINT (-46.5079254 -23.5499099),355030891000037
rua joão tauler,Vila Nova,São Paulo,180,4,2,4,R$,420000.0,2333.3333333333335,3288050.0,-23.592866,-46.5313273,POINT (-46.5313273 -23.592866),355030876000281
rua alice garcia vega,Itaberaba,São Paulo,300,3,5,4,R$,2232000.0,7440.0,2737050.0,-23.4878801,-46.6896604,POINT (-46.6896604 -23.4878801),355030829000035
rua graham bell,Santo Amaro,São Paulo,772,7,7,6,R$,2700000.0,3497.4093264248704,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169
avenida antônio joaquim de moura andrade,Vila Nova Conceição,São Paulo,605,3,3,4,R$,4190000.0,6925.619834710744,4507000.0,-23.5857748,-46.6673831,POINT (-46.6673831 -23.5857748),355030832000034
rua marcos fernandes,Jardim da Saúde,São Paulo,110,3,2,5,R$,860000.0,7818.181818181818,4149120.0,-23.618592,-46.6186559,POINT (-46.6186559 -23.618592),355030827000003
rua josé leão dos santos,Jardim Santo Antônio,São Paulo,250,4,4,4,R$,650000.0,2600.0,8032280.0,-23.5158179,-46.426801,POINT (-46.426801 -23.5158179),355030884000138
rua jaime pinto ferreira,Vila Mazzei,São Paulo,120,2,1,1,R$,490000.0,4083.3333333333335,2308150.0,-23.4715716,-46.601844,POINT (-46.601844 -23.4715716),355030882000081
rua aldo de azevedo,Vila Madalena,São Paulo,170,2,2,1,R$,1485000.0,8735.29411764706,5453030.0,-23.542917,-46.709165,POINT (-46.709165 -23.542917),355030802000006
rua antônio wey,Jardim Ivana,São Paulo,250,3,1,5,R$,650000.0,2600.0,5364110.0,-23.6130752,-46.5268805,POINT (-46.5268805 -23.6130752),355030872000176
rua joão francisco de moura,Vila Campo Grande,São Paulo,110,3,3,2,R$,550000.0,5000.0,4455170.0,-23.6808561,-46.6783139,POINT (-46.6783139 -23.6808561),355030816000016
rua serra de botucatu,Vila Gomes Cardim,São Paulo,120,3,2,2,R$,1100000.0,9166.666666666666,8581360.0,-23.458722,-46.3508225,POINT (-46.3508225 -23.458722),
rua andrade neves,Bela Aliança,São Paulo,502,4,6,4,R$,2985000.0,5946.215139442231,17515400.0,-22.206355,-49.9358848,POINT (-49.9358848 -22.206355),
rua japeacaba,Vila Albertina,São Paulo,268,3,6,4,R$,1700000.0,6343.2835820895525,2373050.0,-23.4540005,-46.6185781,POINT (-46.6185781 -23.4540005),355030881000047
rua senador vergueiro,Santo Amaro,São Paulo,355,4,7,4,R$,3100000.0,8732.394366197183,13061212.0,-22.9119136,-47.1117327,POINT (-47.1117327 -22.9119136),
rua dos plátanos,Cidade Jardim,São Paulo,1195,4,4,6,R$,8700000.0,7280.334728033473,13064764.0,-22.9058338,-47.0663981,POINT (-47.0663981 -22.9058338),
rua domingos menezes,Vila Libanesa,São Paulo,320,5,4,6,R$,890000.0,2781.25,3738060.0,-23.5064801,-46.5064568,POINT (-46.5064568 -23.5064801),355030818000068
rua manuel monteiro,Cidade Domitila,São Paulo,180,3,3,4,R$,550000.0,3055.5555555555557,4387150.0,-23.664646,-46.6498621,POINT (-46.6498621 -23.664646),355030838000301
rua serra da sentinela,Vila Nova Savoia,São Paulo,325,4,6,3,R$,1650000.0,5076.923076923077,3531050.0,-23.5407586,-46.5191101,POINT (-46.5191101 -23.5407586),355030891000009
avenida maria estela,Jardim Maria Estela,São Paulo,110,2,1,1,R$,445000.0,4045.4545454545455,4180010.0,-23.6367964,-46.5965325,POINT (-46.5965325 -23.6367964),355030868000021
rua professor ciro formicola,Parque São Rafael,São Paulo,125,2,1,2,R$,425000.0,3400.0,8311240.0,-23.6299494,-46.4702523,POINT (-46.4702523 -23.6299494),355030875000015
rua elias gannam,Vila Bandeirantes,São Paulo,120,2,3,2,R$,500000.0,4166.666666666667,2552040.0,-23.4975216,-46.6648798,POINT (-46.6648798 -23.4975216),355030850000059
rua zacarias de gois,Parque Colonial,São Paulo,138,3,1,3,R$,1060000.0,7681.159420289855,4610000.0,-23.6303116,-46.6782013,POINT (-46.6782013 -23.6303116),355030815000045
rua gregório paes de almeida,Vila Madalena,São Paulo,401,5,9,4,R$,3890000.0,9700.74812967581,5450000.0,-23.5472107,-46.707677,POINT (-46.707677 -23.5472107),355030802000001
avenida das magnólias,Cidade Jardim,São Paulo,420,4,4,4,R$,2200000.0,5238.0952380952385,5674000.0,-23.5931626,-46.6964356,POINT (-46.6964356 -23.5931626),355030854000128
rua mata machado,Vila Califórnia,São Paulo,260,4,4,4,R$,1250000.0,4807.692307692308,3215000.0,-23.6082946,-46.5576237,POINT (-46.5576237 -23.6082946),355030893000137
rua alfonso de albuquerque,Jardim das Imbuias,São Paulo,200,3,5,3,R$,1250000.0,6250.0,4829290.0,-23.7293118,-46.7102256,POINT (-46.7102256 -23.7293118),355030823000091
rua vicente góes e aranha,Vila Tramontano,São Paulo,463,4,6,6,R$,2200000.0,4751.619870410367,5691010.0,-23.6154794,-46.708266,POINT (-46.708266 -23.6154794),355030854000052
avenida presidente tancredo neves,Vila Nancy,São Paulo,132,2,1,1,R$,390000.0,2954.5454545454545,8571000.0,-23.4798114,-46.3530633,POINT (-46.3530633 -23.4798114),
rua antônio assumpção,Parada Inglesa,São Paulo,154,2,4,4,R$,650000.0,4220.779220779221,13485104.0,-22.5484235,-47.3959233,POINT (-47.3959233 -22.5484235),
rua lauro luchesi,Jardim Leonor Mendes de Barros,São Paulo,300,4,4,3,R$,1600000.0,5333.333333333333,2348090.0,-23.4604115,-46.6140698,POINT (-46.6140698 -23.4604115),355030881000248
rua artur montenegro,Jardim Iva,São Paulo,250,2,2,2,R$,370000.0,1480.0,3921050.0,-23.5908256,-46.5179523,POINT (-46.5179523 -23.5908256),355030876000216
avenida dom rodrigo sanches,Jardim Amália,São Paulo,120,2,2,1,R$,130000.0,1083.3333333333333,5892360.0,-23.6612086,-46.7868272,POINT (-46.7868272 -23.6612086),355030819000263
rua domingos de braga,Vila dos Remédios,São Paulo,110,3,3,2,R$,545000.0,4954.545454545455,5102090.0,-23.517394,-46.7504171,POINT (-46.7504171 -23.517394),355030840000032
rua kansas,Brooklin Paulista,São Paulo,180,3,3,3,R$,1100000.0,6111.111111111111,6365330.0,-23.552674,-46.849401,POINT (-46.849401 -23.552674),
rua comendador armando pereira,Tremembé,São Paulo,151,3,3,8,R$,520000.0,3443.708609271523,2357090.0,-23.6482869,-46.6401001,POINT (-46.6401001 -23.6482869),355030838000027
rua santo adauto,Vila Minerva,São Paulo,170,3,2,2,R$,325000.0,1911.764705882353,8441350.0,-23.5401204,-46.413288,POINT (-46.413288 -23.5401204),355030896000034
rua dos maracujás,Vila Mazzei,São Paulo,211,4,7,8,R$,890000.0,4218.009478672986,6724050.0,-23.6939624,-46.9342083,POINT (-46.9342083 -23.6939624),
avenida raimundo pereira de magalhães,Pirituba,São Paulo,102,3,4,2,R$,409000.0,4009.8039215686276,5092040.0,-23.4867996,-46.7260943,POINT (-46.7260943 -23.4867996),355030863000003
rua nicolau barreto,Vila Cordeiro,São Paulo,177,3,5,2,R$,1500000.0,8474.57627118644,11662180.0,-23.6180837,-45.3918995,POINT (-45.3918995 -23.6180837),
rua salvador fontoura,Parque Boturussu,São Paulo,210,3,2,6,R$,250000.0,1190.4761904761904,3803040.0,-23.4960397,-46.4893463,POINT (-46.4893463 -23.4960397),355030828000038
rua inglaterra,Jardim Europa,São Paulo,200,3,3,2,R$,13000.0,65.0,13471630.0,-22.7258493,-47.3399273,POINT (-47.3399273 -22.7258493),
rua peribebuí,Alto da Lapa,São Paulo,440,4,6,7,R$,2200000.0,5000.0,5084000.0,-23.5266667,-46.7221582,POINT (-46.7221582 -23.5266667),355030888000024
avenida joão xxiii,Vila Formosa,São Paulo,225,2,2,2,R$,780000.0,3466.6666666666665,13231120.0,-23.243615,-46.761438,POINT (-46.761438 -23.243615),
rua taiaçupeba,Quinta da Paineira,São Paulo,350,3,5,6,R$,980000.0,2800.0,3150030.0,-23.671336,-46.1869355,POINT (-46.1869355 -23.671336),
rua coronel virgílio dos santos,Vila Jaguara,São Paulo,220,3,3,2,R$,750000.0,3409.090909090909,5115000.0,-23.5110153,-46.7501572,POINT (-46.7501572 -23.5110153),355030840000008
rua da paz,Alto da Boa Vista,São Paulo,386,4,4,5,R$,1680000.0,4352.331606217616,13607381.0,-22.3709526,-47.366156,POINT (-47.366156 -22.3709526),
rua major alfredo romão,Vila Clarice,São Paulo,99,3,2,2,R$,650000.0,6565.656565656565,5177030.0,-23.4712438,-46.7507659,POINT (-46.7507659 -23.4712438),355030863000156
rua bolívia,Jardim América,São Paulo,663,4,7,6,R$,14500000.0,21870.286576168928,13465750.0,-22.744628,-47.3444964,POINT (-47.3444964 -22.744628),
rua general fonseca teles,Jardim Paulista,São Paulo,420,4,6,3,R$,8700000.0,20714.285714285714,1433020.0,-23.5792253,-46.6668332,POINT (-46.6668332 -23.5792253),355030845000074
rua pataíba,Tucuruvi,São Paulo,211,3,3,3,R$,1237000.0,5862.559241706161,2342040.0,-23.474981,-46.6107707,POINT (-46.6107707 -23.474981),355030882000144
rua doutor milton de souza meirelles,Parque Continental,São Paulo,180,3,4,4,R$,950000.0,5277.777777777777,5324020.0,-23.5376478,-46.7569181,POINT (-46.7569181 -23.5376478),355030841000024
avenida amador bueno da veiga,Penha de França,São Paulo,150,4,1,5,R$,510000.0,3400.0,3636000.0,-23.5188576,-46.5121902,POINT (-46.5121902 -23.5188576),355030864000131
rua doutor franco da rocha,Perdizes,São Paulo,452,4,6,2,R$,4240000.0,9380.530973451327,13900060.0,-22.7029547,-46.7654168,POINT (-46.7654168 -22.7029547),
rua caetano braga,Conjunto Residencial José Bonifácio,São Paulo,129,3,2,2,R$,490000.0,3798.4496124031007,8250490.0,-23.5351221,-46.4401156,POINT (-46.4401156 -23.5351221),355030837000117
rua francisco de paula brito,Planalto Paulista,São Paulo,250,3,4,4,R$,2190000.0,8760.0,4071050.0,-23.6254388,-46.6518035,POINT (-46.6518035 -23.6254388),355030877000123
rua dos comerciários,Cidade Vargas,São Paulo,250,3,3,5,R$,2180000.0,8720.0,19816215.0,-22.6622852,-50.4032513,POINT (-50.4032513 -22.6622852),
rua francisco correia dutra,Jardim Maria Luiza,São Paulo,152,2,3,2,R$,398000.0,2618.4210526315787,5371070.0,-23.5833399,-46.7555926,POINT (-46.7555926 -23.5833399),355030867000087
rua joaquim de almeida,Mirandópolis,São Paulo,192,4,2,2,R$,950000.0,4947.916666666667,16074380.0,-21.1834616,-50.4516585,POINT (-50.4516585 -21.1834616),
rua elisa rodrigues,Planalto Paulista,São Paulo,184,4,3,4,R$,1390000.0,7554.347826086957,4058050.0,-23.6049621,-46.6503449,POINT (-46.6503449 -23.6049621),355030877000156
rua josé sebastião de sá,Jardim do Carmo,São Paulo,100,2,2,1,R$,530000.0,5300.0,4674020.0,-23.5006764,-46.445798,POINT (-46.445798 -23.5006764),355030874000092
rua amandaba,Jardim Prudência,São Paulo,253,4,4,2,R$,1280000.0,5059.288537549407,4648140.0,-21.1002194,-51.1625059,POINT (-51.1625059 -21.1002194),
rua cordisburgo,Jardim Leonor,São Paulo,850,4,8,6,R$,6500000.0,7647.058823529412,5614090.0,-23.5949294,-46.7133299,POINT (-46.7133299 -23.5949294),355030854000005
rua carlos rath,Alto de Pinheiros,São Paulo,400,5,4,4,R$,2900000.0,7250.0,5462030.0,-23.561089,-46.7041773,POINT (-46.7041773 -23.561089),355030802000060
rua luís ramos figueira,Vila Suzana,São Paulo,140,3,4,2,R$,775000.0,5535.714285714285,5630120.0,-23.459523,-46.5720216,POINT (-46.5720216 -23.459523),355030839000022
rua dos aliados,Alto da Lapa,São Paulo,500,5,7,7,R$,3500000.0,7000.0,9402600.0,-23.7047376,-46.4236693,POINT (-46.4236693 -23.7047376),
rua josé barbosa,Jardim das Vertentes,São Paulo,84,3,3,2,R$,470000.0,5595.238095238095,14402605.0,-20.5158428,-47.3518485,POINT (-47.3518485 -20.5158428),
rua iagari,Alto da Lapa,São Paulo,243,3,5,3,R$,2400000.0,9876.543209876543,5084040.0,-23.5279911,-46.7215323,POINT (-46.7215323 -23.5279911),355030888000036
rua júlio rua perez,Campo Belo,São Paulo,145,4,3,2,R$,1350000.0,9310.344827586207,4617030.0,-23.6234189,-46.6710974,POINT (-46.6710974 -23.6234189),355030815000119
rua marechal barbacena,Vila Regente Feijó,São Paulo,150,3,2,2,R$,800000.0,5333.333333333333,3333000.0,-23.5552966,-46.5736157,POINT (-46.5736157 -23.5552966),355030801000106
rua plínio mota,Vila Tolstoi,São Paulo,240,3,3,7,R$,890000.0,3708.3333333333335,3268050.0,-23.597993,-46.5280258,POINT (-46.5280258 -23.597993),355030876000246
rua belarmino cardoso de andrade,Terceira Divisão de Interlagos,São Paulo,167,3,4,2,R$,630000.0,3772.4550898203593,4809270.0,-23.5505199,-46.6333094,POINT (-46.6333094 -23.5505199),355030878000004
rua camberra,Vila Formosa,São Paulo,256,4,3,1,R$,1063830.0,4155.5859375,6680690.0,-23.5492651,-46.9331962,POINT (-46.9331962 -23.5492651),
rua marechal bitencourt,Jardim Paulista,São Paulo,360,4,5,4,R$,1800000.0,5000.0,13904050.0,-22.7107722,-46.774572,POINT (-46.774572 -22.7107722),
rua pero correia,Vila Mariana,São Paulo,250,3,3,1,R$,1350000.0,5400.0,4113040.0,-23.584853,-46.6231687,POINT (-46.6231687 -23.584853),355030890000113
avenida ouro verde de minas,Jardim Imperador (Zona Leste),São Paulo,186,3,3,2,R$,750000.0,4032.2580645161293,3937090.0,-23.5873981,-46.5028832,POINT (-46.5028832 -23.5873981),355030873000198
rua inglaterra,Jardim Europa,São Paulo,756,5,4,10,R$,37000000.0,48941.798941798945,13471630.0,-22.7258493,-47.3399273,POINT (-47.3399273 -22.7258493),
avenida ibiúna,Vila Aricanduva,São Paulo,500,4,3,4,R$,1200000.0,2400.0,3507010.0,-23.5380317,-46.5382892,POINT (-46.5382892 -23.5380317),355030891000122
rua coronel octávio azeredo,Vila Mazzei,São Paulo,80,3,1,2,R$,420000.0,5250.0,2311110.0,-23.4685856,-46.6016164,POINT (-46.6016164 -23.4685856),355030882000154
rua drosera,Pirituba,São Paulo,190,3,2,4,R$,920000.0,4842.105263157895,2945120.0,-23.4814831,-46.7252154,POINT (-46.7252154 -23.4814831),355030863000001
rua timbó,Mooca,São Paulo,170,3,2,2,R$,940000.0,5529.411764705882,13098348.0,-22.8193561,-47.0197238,POINT (-47.0197238 -22.8193561),
rua prudentópolis,Boaçava,São Paulo,1192,4,3,6,R$,6200000.0,5201.342281879195,5471020.0,-23.5398467,-46.7257229,POINT (-46.7257229 -23.5398467),355030802000061
rua josé clemente,Jardim Paulista,São Paulo,724,4,6,3,R$,8000000.0,11049.723756906078,19803045.0,-22.6765717,-50.4354511,POINT (-50.4354511 -22.6765717),
rua araripe,Vila Califórnia,São Paulo,300,6,3,2,R$,430000.0,1433.3333333333333,9942051.0,-23.6781897,-46.5982602,POINT (-46.5982602 -23.6781897),
rua lavras do sul,Vila Carolina,São Paulo,120,4,3,2,R$,650000.0,5416.666666666667,2724030.0,-23.4969321,-46.6810979,POINT (-46.6810979 -23.4969321),355030850000028
rua marco aurélio,Vila Romana,São Paulo,160,3,4,2,R$,940000.0,5875.0,9260640.0,-23.6329624,-46.4905156,POINT (-46.4905156 -23.6329624),
alameda dos guainumbis,Planalto Paulista,São Paulo,200,4,6,3,R$,2014000.0,10070.0,4067000.0,-23.6115678,-46.6474715,POINT (-46.6474715 -23.6115678),355030877000099
avenida júlio buono,Vila Gustavo,São Paulo,217,5,3,2,R$,670000.0,3087.557603686636,2201000.0,-23.4857256,-46.5924134,POINT (-46.5924134 -23.4857256),355030892000145
rua monsenhor moura,Vila Leopoldina,São Paulo,167,2,2,2,R$,820000.0,4910.179640718563,5089020.0,-23.5204468,-46.7256618,POINT (-46.7256618 -23.5204468),355030888000032
rua dos tamanás,Vila Madalena,São Paulo,440,4,5,4,R$,3950000.0,8977.272727272728,5444010.0,-23.5587209,-46.6952556,POINT (-46.6952556 -23.5587209),355030862000022
praça doutor carvalho franco,Vila Mariana,São Paulo,250,3,5,2,R$,2450000.0,9800.0,4019060.0,-23.5896566,-46.6446848,POINT (-46.6446848 -23.5896566),355030890000064
rua maria ramos,Vila São Paulo,São Paulo,250,5,6,2,R$,486000.0,1944.0,9862050.0,-23.7012782,-46.581258,POINT (-46.581258 -23.7012782),
rua kansas,Brooklin Paulista,São Paulo,70,2,4,2,R$,800000.0,11428.57142857143,6365330.0,-23.552674,-46.849401,POINT (-46.849401 -23.552674),
rua engenheiro dolabela,Jardim Bandeirantes (Zona Norte),São Paulo,455,4,5,3,R$,680000.0,1494.5054945054944,2994020.0,-23.4567431,-46.7348732,POINT (-46.7348732 -23.4567431),355030842000163
rua francisco bellazzi,Jardim Jaraguá,São Paulo,80,2,1,1,R$,245000.0,3062.5,5265040.0,-23.4513971,-46.791219,POINT (-46.791219 -23.4513971),355030803000003
rua gonçalo pires,Vila Morse,São Paulo,125,3,3,1,R$,610000.0,4880.0,5624040.0,-23.5958897,-46.7273963,POINT (-46.7273963 -23.5958897),355030894000241
rua cautaros,Itaquera,São Paulo,185,3,5,5,R$,460000.0,2486.4864864864867,8215650.0,-23.5503907,-46.4433966,POINT (-46.4433966 -23.5503907),355030847000068
avenida avelino paranho,Vila Talarico,São Paulo,250,5,3,5,R$,850000.0,3400.0,3533010.0,-23.5481029,-46.5076238,POINT (-46.5076238 -23.5481029),355030891000140
rua manoel joão pereira,Vila Matilde,São Paulo,131,3,2,2,R$,540000.0,4122.137404580153,3530030.0,-23.5378418,-46.5192581,POINT (-46.5192581 -23.5378418),355030891000026
rua getúlio vargas filho,Cidade Vargas,São Paulo,114,3,4,2,R$,550000.0,4824.561403508772,4318030.0,-23.645287,-46.6361156,POINT (-46.6361156 -23.645287),355030838000148
rua bernardo vieira,Vila Laís,São Paulo,104,1,1,1,R$,270000.0,2596.153846153846,3612080.0,-23.5177519,-46.5351622,POINT (-46.5351622 -23.5177519),355030859000075
rua marechal bina machado,Jardim Marajoara,São Paulo,360,4,5,4,R$,1750000.0,4861.111111111111,4663120.0,-23.6538431,-46.6851643,POINT (-46.6851643 -23.6538431),355030816000159
rua doutor augusto de miranda,Vila Pompéia,São Paulo,98,3,3,1,R$,1050000.0,10714.285714285714,5026000.0,-23.5314701,-46.6900124,POINT (-46.6900124 -23.5314701),355030860000117
alameda dos ciprestes,Chácara Santo Antônio (Zona Sul),São Paulo,351,4,4,4,R$,3480000.0,9914.529914529914,13101627.0,-22.9094477,-47.0084772,POINT (-47.0084772 -22.9094477),
rua josé clemente,Jardim Paulista,São Paulo,700,4,5,4,R$,7900000.0,11285.714285714286,19803045.0,-22.6765717,-50.4354511,POINT (-50.4354511 -22.6765717),
rua laplace,Brooklin Paulista,São Paulo,300,3,5,4,R$,2400000.0,8000.0,13484230.0,-22.5508468,-47.4212195,POINT (-47.4212195 -22.5508468),
rua rússia,Jardim Europa,São Paulo,200,3,3,2,R$,2700000.0,13500.0,13471770.0,-22.7301908,-47.3452735,POINT (-47.3452735 -22.7301908),
rua oscar pinheiro coelho,Caxingui,São Paulo,110,2,1,3,R$,620000.0,5636.363636363636,5516050.0,-23.5829324,-46.7185138,POINT (-46.7185138 -23.5829324),355030812000135
rua tagipuru,Barra Funda,São Paulo,170,4,3,2,R$,1600000.0,9411.764705882353,1156000.0,-23.5281029,-46.6662922,POINT (-46.6662922 -23.5281029),355030806000003
rua américo brasiliense,Alto da Boa Vista,São Paulo,340,4,6,7,R$,2200000.0,6470.588235294118,16071005.0,-21.2072632,-50.4630062,POINT (-50.4630062 -21.2072632),
rua catão,Vila Romana,São Paulo,235,3,4,3,R$,1280000.0,5446.808510638298,9110440.0,-23.665514,-46.5068005,POINT (-46.5068005 -23.665514),
rua conchilia,Vila Albertina,São Paulo,300,4,6,4,R$,1600000.0,5333.333333333333,2373010.0,-23.4550039,-46.6173451,POINT (-46.6173451 -23.4550039),355030881000046
rua antônio barbosa de oliveira,Vila João Batista,São Paulo,571,3,2,3,R$,987000.0,1728.5464098073555,12248360.0,-23.1763077,-45.7977947,POINT (-45.7977947 -23.1763077),
rua joão pereira santos,Jardim Nova Germania,São Paulo,57,3,1,5,R$,350000.0,6140.350877192983,5849350.0,-23.6561108,-46.7575502,POINT (-46.7575502 -23.6561108),355030819000353
rua monte cardoso,Vila Antonieta,São Paulo,150,3,2,2,R$,600000.0,4000.0,3474000.0,-23.5655038,-46.5125611,POINT (-46.5125611 -23.5655038),355030804000026
rua prisciliana duarte,Jardim da Saúde,São Paulo,257,3,4,4,R$,1600000.0,6225.68093385214,4291040.0,-23.6161524,-46.6135888,POINT (-46.6135888 -23.6161524),355030827000019
rua agostinho da mota,Chácara Santo Antônio (Zona Leste),São Paulo,140,3,4,4,R$,900000.0,6428.571428571428,3409030.0,-23.5445003,-46.5501404,POINT (-46.5501404 -23.5445003),355030820000094
rua professor joão marinho,Vila Mariana,São Paulo,170,3,4,2,R$,1490000.0,8764.70588235294,4007010.0,-23.5743938,-46.6523223,POINT (-46.6523223 -23.5743938),355030832000069
rua pereira caldas,Jardim da Glória,São Paulo,200,3,2,2,R$,1000000.0,5000.0,1546100.0,-23.5795936,-46.6196036,POINT (-46.6196036 -23.5795936),355030890000163
rua princesa leopoldina,Alto da Lapa,São Paulo,100,2,2,1,R$,940000.0,9400.0,9911590.0,-23.692809,-46.6102396,POINT (-46.6102396 -23.692809),
avenida moaci,Planalto Paulista,São Paulo,420,5,7,6,R$,1900000.0,4523.809523809524,4083000.0,-23.6115591,-46.6636981,POINT (-46.6636981 -23.6115591),355030832000129
estrada velha da penha,Tatuapé,São Paulo,110,2,1,2,R$,450000.0,4090.909090909091,3090020.0,-23.529629,-46.554006,POINT (-46.554006 -23.529629),355030880000109
rua bernardo alvarenga,Caxingui,São Paulo,350,3,4,2,R$,1969000.0,5625.714285714285,5515060.0,-23.5801129,-46.7146142,POINT (-46.7146142 -23.5801129),355030812000132
rua doutor antônio gontijo de carvalho,Jardim Cordeiro,São Paulo,1200,6,7,8,R$,6360000.0,5300.0,4640190.0,-23.6344414,-46.6835729,POINT (-46.6835729 -23.6344414),355030871000056
rua judith,Vila Madalena,São Paulo,146,3,2,2,R$,1550000.0,10616.438356164384,9669030.0,-22.951011,-47.0541714,POINT (-47.0541714 -22.951011),
rua catão,Vila Romana,São Paulo,130,2,2,1,R$,688000.0,5292.307692307692,9110440.0,-23.665514,-46.5068005,POINT (-46.5068005 -23.665514),
rua manuel francisco alves,Parque Casa de Pedra,São Paulo,232,8,3,1,R$,500000.0,2155.1724137931033,2319060.0,-23.4507852,-46.5927862,POINT (-46.5927862 -23.4507852),355030881000076
rua luís dib zogaib,Morumbi,São Paulo,443,4,6,8,R$,1800000.0,4063.2054176072234,5613020.0,-23.5892763,-46.7119877,POINT (-46.7119877 -23.5892763),355030854000117
rua pamplona,Jardim Paulista,São Paulo,156,4,4,2,R$,2340000.0,15000.0,6690500.0,-23.5492651,-46.9331962,POINT (-46.9331962 -23.5492651),
rua alexandre von humboldt,Praia Azul,São Paulo,250,4,4,3,R$,580000.0,2320.0,4928250.0,-23.5099203,-46.7149147,POINT (-46.7149147 -23.5099203),355030848000091
rua boiçununga,São João Clímaco,São Paulo,200,3,3,2,R$,570000.0,2850.0,4255120.0,-23.6226525,-46.5944472,POINT (-46.5944472 -23.6226525),355030868000048
rua doutor valentino sola,Jardim da Glória,São Paulo,231,4,5,6,R$,1650000.0,7142.857142857143,4114010.0,-23.5857945,-46.624855,POINT (-46.624855 -23.5857945),355030890000083
rua serenata,Vila Prudente,São Paulo,140,3,3,2,R$,490000.0,3500.0,13323663.0,-23.2253151,-47.2606102,POINT (-47.2606102 -23.2253151),
rua eduardo da silva magalhães,Parque Continental,São Paulo,350,5,7,7,R$,2500000.0,7142.857142857143,5324000.0,-23.5415528,-46.7565523,POINT (-46.7565523 -23.5415528),355030841000079
rua joão pedro,Capela do Socorro,São Paulo,120,3,3,3,R$,500000.0,4166.666666666667,4781040.0,-23.6899619,-46.7069844,POINT (-46.7069844 -23.6899619),355030879000040
rua quirino pucca,Vila Romana,São Paulo,65,1,1,2,R$,480000.0,7384.615384615385,5048060.0,-23.5340641,-46.6960622,POINT (-46.6960622 -23.5340641),355030848000071
rua guira,Parque Santa Madalena,São Paulo,180,4,2,1,R$,300000.0,1666.6666666666667,8223100.0,-23.530091,-46.473136,POINT (-46.473136 -23.530091),355030837000229
rua teviot,Vila Nova Conceição,São Paulo,363,4,6,4,R$,5100000.0,14049.586776859504,4507050.0,-23.5866888,-46.6689603,POINT (-46.6689603 -23.5866888),355030832000066
rua amélia da silveira,Jardim Vivan,São Paulo,176,3,4,2,R$,620000.0,3522.7272727272725,2993170.0,-23.4558306,-46.7313766,POINT (-46.7313766 -23.4558306),355030842000162
rua alberto lohnhoff,Lauzane Paulista,São Paulo,88,3,3,1,R$,455000.0,5170.454545454545,2443010.0,-23.4730308,-46.646802,POINT (-46.646802 -23.4730308),355030851000087
